Case #1: 190
13 24 1334345
13 25 4181189
13 26 1152185
15 16 1451067
15 18 1537463
15 19 575496
15 20 1034521
15 21 2570325
15 22 393886
15 23 1447556
15 24 1032105
15 25 4022285
15 26 336597
16 18 1346271
16 19 1344279
16 20 885254
16 21 1119258
16 22 1156851
16 23 1742961
16 24 418962
16 25 2571218
16 26 1114470
18 19 961967
18 20 1420992
18 21 2465529
18 22 1665198
18 23 2985019
18 24 927309
18 25 3917489
18 26 1622817
19 20 459025
19 21 2463537
19 22 969382
19 23 2023052
19 24 1607601
19 25 3915497
19 26 912093
20 21 2004512
20 22 1321173
20 23 2482077
20 24 1304216
20 25 3456472
20 26 1371118
21 22 2276109
21 23 1645711
21 24 1538220
21 25 1921274
21 26 2233728
22 23 1841442
22 24 737889
22 25 3728069
22 26 730483
23 24 2161923
23 25 3097671
23 26 1784153
24 25 2990180
24 26 695508
25 26 3685688
Case #3: 946
1 2 159062
1 3 196825
1 4 120934
1 5 197250
1 6 189513
1 7 190659
1 8 117650
1 9 163883
1 10 195574
1 11 169066
1 12 188377
1 13 189935
1 14 171554
1 15 174256
1 16 128346
1 17 124054
1 18 208785
1 19 166249
1 20 114433
1 21 182571
1 22 152461
1 23 129652
1 24 170631
1 25 143879
1 26 137096
1 27 128719
1 28 157002
1 29 129670
1 30 147098
1 31 120803
1 32 254038
1 33 128900
1 34 59381
1 35 137668
1 36 174088
1 37 182745
1 38 126143
1 39 189089
1 40 113510
1 41 192282
1 42 223800
1 43 113177
1 44 204335
2 3 129533
2 4 38128
2 5 130624
2 6 122887
2 7 124033
2 8 51024
2 9 96591
2 10 172882
2 11 100594
2 12 150215
2 13 121463
2 14 113068
2 15 107630
2 16 59208
2 17 57428
2 18 142159
2 19 99623
2 20 45295
2 21 123523
2 22 136558
2 23 63026
2 24 102159
2 25 77253
2 26 70470
2 27 112816
2 28 89710
2 29 51586
2 30 79806
2 31 51665
2 32 238135
2 33 60428
2 34 99681
2 35 71042
2 36 107462
2 37 116119
2 38 80450
2 39 122463
2 40 46218
2 41 124990
2 42 243889
2 43 46551
2 44 137043
3 4 91405
3 5 128372
3 6 120635
3 7 161130
3 8 88121
3 9 133688
3 10 209979
3 11 139537
3 12 125846
3 13 160406
3 14 122339
3 15 144727
3 16 98151
3 17 94525
3 18 179256
3 19 136720
3 20 84238
3 21 160620
3 22 173655
3 23 100123
3 24 141102
3 25 114350
3 26 107567
3 27 149913
3 28 126807
3 29 90529
3 30 49727
3 31 88762
3 32 275232
3 33 99371
3 34 137444
3 35 108139
3 36 136795
3 37 153216
3 38 117547
3 39 92720
3 40 83315
3 41 162087
3 42 214146
3 43 83648
3 44 112674
4 5 92496
4 6 84759
4 7 85905
4 8 12896
4 9 58463
4 10 134754
4 11 62466
4 12 112087
4 13 83335
4 14 74940
4 15 69502
4 16 21080
4 17 19300
4 18 104031
4 19 61495
4 20 7167
4 21 85395
4 22 98430
4 23 24898
4 24 64031
4 25 39125
4 26 32342
4 27 74688
4 28 51582
4 29 13458
4 30 41678
4 31 13537
4 32 200007
4 33 22300
4 34 61553
4 35 32914
4 36 69334
4 37 77991
4 38 42322
4 39 84335
4 40 8090
4 41 86862
4 42 205761
4 43 8423
4 44 98915
5 6 7737
5 7 152609
5 8 79600
5 9 128018
5 10 201458
5 11 140628
5 12 184165
5 13 161497
5 14 122764
5 15 115675
5 16 99242
5 17 86004
5 18 170735
5 19 137811
5 20 85329
5 21 147042
5 22 165134
5 23 91602
5 24 142193
5 25 105829
5 26 107992
5 27 141392
5 28 127898
5 29 91620
5 30 78645
5 31 80241
5 32 266711
5 33 100462
5 34 137869
5 35 108564
5 36 144984
5 37 144695
5 38 109026
5 39 151039
5 40 84406
5 41 163178
5 42 273747
5 43 84073
5 44 98509
6 7 144872
6 8 81475
6 9 127042
6 10 193721
6 11 132891
6 12 177710
6 13 153760
6 14 115027
6 15 123412
6 16 91505
6 17 78267
6 18 162998
6 19 130074
6 20 77592
6 21 139305
6 22 157397
6 23 83865
6 24 134456
6 25 98092
6 26 100921
6 27 133655
6 28 120161
6 29 85165
6 30 70908
6 31 72504
6 32 258974
6 33 92725
6 34 130798
6 35 101493
6 36 137913
6 37 136958
6 38 101289
6 39 144584
6 40 76669
6 41 155441
6 42 266010
6 43 77002
6 44 106246
7 8 73009
7 9 127522
7 10 193585
7 11 134037
7 12 172733
7 13 154906
7 14 146511
7 15 128333
7 16 92651
7 17 78131
7 18 164144
7 19 120326
7 20 78738
7 21 144226
7 22 157261
7 23 83729
7 24 135602
7 25 46780
7 26 101401
7 27 133519
7 28 121307
7 29 85029
7 30 111403
7 31 83894
7 32 258838
7 33 93871
7 34 131278
7 35 101973
7 36 138393
7 37 85646
7 38 101153
7 39 139607
7 40 77815
7 41 156587
7 42 261033
7 43 77482
7 44 159561
8 9 55179
8 10 121858
8 11 61028
8 12 104565
8 13 81897
8 14 73502
8 15 56606
8 16 19642
8 17 6404
8 18 91135
8 19 58211
8 20 5729
8 21 82111
8 22 85534
8 23 20948
8 24 62593
8 25 26229
8 26 28392
8 27 70738
8 28 48298
8 29 12020
8 30 38394
8 31 12099
8 32 187111
8 33 20862
8 34 58269
8 35 28964
8 36 65384
8 37 65095
8 38 29426
8 39 71439
8 40 4806
8 41 83578
8 42 201811
8 43 4473
8 44 95631
9 10 157422
9 11 106595
9 12 154370
9 13 127464
9 14 119069
9 15 111785
9 16 65209
9 17 60917
9 18 145648
9 19 62527
9 20 51296
9 21 86427
9 22 114309
9 23 66515
9 24 108160
9 25 81408
9 26 63338
9 27 116305
9 28 93865
9 29 67199
9 30 83961
9 31 57666
9 32 215886
9 33 66429
9 34 104502
9 35 63910
9 36 111617
9 37 120274
9 38 83939
9 39 126618
9 40 50373
9 41 129145
9 42 181832
9 43 50706
9 44 40452
10 11 182886
10 12 130142
10 13 203755
10 14 144632
10 15 178464
10 16 141500
10 17 115454
10 18 212993
10 19 180069
10 20 127587
10 21 193075
10 22 205756
10 23 132224
10 24 184451
10 25 148087
10 26 150250
10 27 182014
10 28 170156
10 29 133878
10 30 160252
10 31 121217
10 32 192174
10 33 142720
10 34 165983
10 35 150822
10 36 187242
10 37 185671
10 38 149648
10 39 136924
10 40 126664
10 41 205436
10 42 314723
10 43 126331
10 44 116970
11 12 155948
11 13 131467
11 14 95246
11 15 117634
11 16 69212
11 17 67432
11 18 152163
11 19 109627
11 20 55299
11 21 133527
11 22 146562
11 23 73030
11 24 112163
11 25 87257
11 26 80474
11 27 122820
11 28 100380
11 29 61590
11 30 89810
11 31 61669
11 32 248139
11 33 40166
11 34 109685
11 35 81046
11 36 117466
11 37 126123
11 38 90454
11 39 132467
11 40 56222
11 41 134994
11 42 244364
11 43 56555
11 44 142776
12 13 181088
12 14 141276
12 15 133870
12 16 118833
12 17 110969
12 18 195700
12 19 116151
12 20 104920
12 21 124037
12 22 186609
12 23 113077
12 24 161784
12 25 125953
12 26 115556
12 27 162867
12 28 147489
12 29 116585
12 30 137585
12 31 105206
12 32 184977
12 33 115782
12 34 157460
12 35 114984
12 36 87784
12 37 87087
12 38 133991
12 39 33126
12 40 103997
12 41 182769
12 42 262474
12 43 103664
12 44 162396
13 14 131359
13 15 125256
13 16 77499
13 17 88301
13 18 173032
13 19 130496
13 20 78014
13 21 154396
13 22 167431
13 23 93899
13 24 36212
13 25 108126
13 26 101343
13 27 143689
13 28 120583
13 29 85121
13 30 110679
13 31 82538
13 32 269008
13 33 91301
13 34 131220
13 35 101915
13 36 138335
13 37 146992
13 38 111323
13 39 153336
13 40 77091
13 41 155863
13 42 274762
13 43 77424
13 44 167916
14 15 99770
14 16 53860
14 17 79605
14 18 164637
14 19 122101
14 20 67773
14 21 130642
14 22 159036
14 23 85504
14 24 96811
14 25 99731
14 26 63754
14 27 135294
14 28 82516
14 29 61482
14 30 102284
14 31 74143
14 32 203096
14 33 82906
14 34 112173
14 35 63182
14 36 99602
14 37 138597
14 38 45411
14 39 108150
14 40 68696
14 41 137482
14 42 229576
14 43 69029
14 44 127892
15 16 76248
15 17 63010
15 18 147741
15 19 109997
15 20 62335
15 21 109459
15 22 140504
15 23 66972
15 24 119199
15 25 81553
15 26 50995
15 27 116762
15 28 82814
15 29 68626
15 30 95000
15 31 68705
15 32 228871
15 33 77468
15 34 114875
15 35 51567
15 36 121990
15 37 46783
15 38 86032
15 39 128045
15 40 61412
15 41 140184
15 42 222170
15 43 61079
15 44 94972
16 17 26046
16 18 110777
16 19 68241
16 20 13913
16 21 92141
16 22 105176
16 23 31644
16 24 42951
16 25 45871
16 26 39088
16 27 81434
16 28 58994
16 29 7622
16 30 48424
16 31 20283
16 32 206753
16 33 29046
16 34 68965
16 35 39660
16 36 76080
16 37 84737
16 38 49068
16 39 91081
16 40 14836
16 41 93608
16 42 212507
16 43 15169
16 44 105661
17 18 97539
17 19 64615
17 20 12133
17 21 77621
17 22 90302
17 23 16770
17 24 68997
17 25 32633
17 26 34796
17 27 66560
17 28 54702
17 29 18424
17 30 44798
17 31 5763
17 32 191879
17 33 27266
17 34 64673
17 35 35368
17 36 71788
17 37 70217
17 38 34194
17 39 77843
17 40 11210
17 41 89982
17 42 199269
17 43 10877
17 44 97797
18 19 149346
18 20 96864
18 21 163634
18 22 142738
18 23 112083
18 24 153728
18 25 117364
18 26 119527
18 27 161873
18 28 139433
18 29 103155
18 30 129529
18 31 103234
18 32 244315
18 33 111997
18 34 149404
18 35 120099
18 36 156519
18 37 156230
18 38 120561
18 39 162574
18 40 95941
18 41 174713
18 42 245567
18 43 95608
18 44 169111
19 20 54328
19 21 23900
19 22 132497
19 23 58965
19 24 111192
19 25 84440
19 26 59002
19 27 108755
19 28 90821
19 29 70231
19 30 86993
19 31 60698
19 32 234074
19 33 69461
19 34 106868
19 35 59574
19 36 113983
19 37 86576
19 38 87637
19 39 129650
19 40 53405
19 41 132177
19 42 230177
19 43 53738
19 44 102979
20 21 78228
20 22 91263
20 23 17731
20 24 56864
20 25 31958
20 26 25175
20 27 67521
20 28 45081
20 29 17749
20 30 34511
20 31 6370
20 32 192840
20 33 15133
20 34 55052
20 35 25747
20 36 62167
20 37 70824
20 38 35155
20 39 77168
20 40 923
20 41 79695
20 42 198594
20 43 1256
20 44 91748
21 22 144077
21 23 82865
21 24 135092
21 25 108340
21 26 66888
21 27 120335
21 28 114721
21 29 84519
21 30 110893
21 31 71858
21 32 244764
21 33 93361
21 34 130768
21 35 67460
21 36 137883
21 37 62676
21 38 100643
21 39 143938
21 40 77305
21 41 148499
21 42 238063
21 43 77638
21 44 126879
22 23 73532
22 24 148127
22 25 110481
22 26 113926
22 27 23742
22 28 133832
22 29 97554
22 30 123928
22 31 84893
22 32 149061
22 33 106396
22 34 122870
22 35 114498
22 36 148469
22 37 147772
22 38 113678
22 39 156973
22 40 90340
22 41 139049
22 42 215237
22 43 90007
22 44 154761
23 24 74595
23 25 36949
23 26 41060
23 27 49790
23 28 60300
23 29 24022
23 30 50396
23 31 11361
23 32 175109
23 33 32864
23 34 70271
23 35 40966
23 36 77386
23 37 75815
23 38 40146
23 39 83441
23 40 16808
23 41 95580
23 42 204867
23 43 16475
23 44 99905
24 25 88822
24 26 82039
24 27 124385
24 28 101945
24 29 50573
24 30 91375
24 31 63234
24 32 249704
24 33 71997
24 34 111250
24 35 82611
24 36 119031
24 37 127688
24 38 92019
24 39 134032
24 40 57787
24 41 136559
24 42 255458
24 43 58120
24 44 148612
25 26 54621
25 27 86739
25 28 74527
25 29 38249
25 30 64623
25 31 38328
25 32 212058
25 33 47091
25 34 84498
25 35 55193
25 36 91613
25 37 91324
25 38 54373
25 39 97668
25 40 31035
25 41 109807
25 42 228040
25 43 30702
25 44 112781
26 27 90184
26 28 68410
26 29 40412
26 30 57840
26 31 31545
26 32 215503
26 33 40308
26 34 78381
26 35 572
26 36 85496
26 37 93487
26 38 57818
26 39 99831
26 40 24252
26 41 103024
26 42 221923
26 43 24585
26 44 103790
27 28 110090
27 29 73812
27 30 100186
27 31 61151
27 32 125319
27 33 82654
27 34 120061
27 35 90756
27 36 124727
27 37 124030
27 38 89936
27 39 133231
27 40 66598
27 41 124437
27 42 191495
27 43 66265
27 44 149695
28 29 60318
28 30 77746
28 31 51451
28 32 235409
28 33 60214
28 34 97621
28 35 68982
28 36 104736
28 37 113393
28 38 77724
28 39 119737
28 40 44158
28 41 122264
28 42 220582
28 43 43825
28 44 134317
29 30 40802
29 31 12661
29 32 199131
29 33 21424
29 34 70289
29 35 40984
29 36 68458
29 37 77115
29 38 41446
29 39 83459
29 40 16826
29 41 85986
29 42 206167
29 43 16493
29 44 98039
30 31 39035
30 32 225505
30 33 49644
30 34 87717
30 35 58412
30 36 94832
30 37 103489
30 38 67820
30 39 109833
30 40 33588
30 41 112360
30 42 231259
30 43 33921
30 44 124413
31 32 186470
31 33 21503
31 34 61422
31 35 32117
31 36 68537
31 37 64454
31 38 28785
31 39 72080
31 40 7293
31 41 84219
31 42 193506
31 43 7626
31 44 98118
32 33 207973
32 34 224447
32 35 216075
32 36 250046
32 37 182088
32 38 157685
32 39 218103
32 40 191917
32 41 249756
32 42 316814
32 43 191584
32 44 240166
33 34 70185
33 35 40880
33 36 77300
33 37 85957
33 38 50288
33 39 92301
33 40 16056
33 41 94828
33 42 204198
33 43 16389
33 44 102610
34 35 78953
34 36 114707
34 37 123364
34 38 66762
34 39 129708
34 40 54129
34 41 132901
34 42 251134
34 43 53796
34 44 144954
35 36 86068
35 37 94059
35 38 58390
35 39 100403
35 40 24824
35 41 102793
35 42 222495
35 43 25157
35 44 104362
36 37 130479
36 38 94810
36 39 94566
36 40 61244
36 41 140016
36 42 258249
36 43 60911
36 44 74612
37 38 93239
37 39 120213
37 40 69901
37 41 148673
37 42 175387
37 43 69568
37 44 141755
38 39 100865
38 40 34232
38 41 92071
38 42 222291
38 43 33899
38 44 82481
39 40 76245
39 41 155017
39 42 265586
39 43 75912
39 44 167070
40 41 78772
40 42 197671
40 43 333
40 44 90825
41 42 276443
41 43 79105
41 44 169597
42 43 197338
42 44 222284
43 44 91158
Case #4: 1
1 3 5
Case #5: 92
2 4 2553952
2 5 1713803
2 7 814882
2 9 173950
2 10 1622485
2 11 758398
2 13 2117765
2 14 1061869
2 18 1282875
2 19 2803803
2 20 873995
2 23 1913608
2 25 1546043
4 5 3030515
4 7 1739070
4 9 2659558
4 10 1211023
4 11 2075110
4 13 3041953
4 14 3547477
4 18 1271077
4 19 1530539
4 20 1959513
4 23 640344
4 25 2470231
5 7 2528685
5 9 1539853
5 10 1819492
5 11 955405
5 13 3831568
5 14 2427772
5 18 2996678
5 19 3280366
5 20 1071002
5 23 2390171
5 25 3259846
7 9 988832
7 10 1669405
7 11 1573280
7 13 1302883
7 14 1876751
7 18 467993
7 19 1988921
7 20 1688877
7 23 1098726
7 25 731161
9 10 1448535
9 11 584448
9 13 2291715
9 14 887919
9 18 1456825
9 19 2909409
9 20 700045
9 23 2019214
9 25 1719993
10 11 864087
10 13 2972288
10 14 2336454
10 18 1201412
10 19 1460874
10 20 748490
10 23 570679
10 25 2400566
11 13 2876163
11 14 1472367
11 18 2041273
11 19 2324961
11 20 115597
11 23 1434766
11 25 2304441
13 14 3179634
13 18 1770876
13 19 3291804
13 20 2991760
13 23 2401609
13 25 571722
14 18 2344744
14 19 3797328
14 20 1587964
14 23 2907133
14 25 2607912
15 16 976040
18 19 1520928
18 20 1949902
18 23 630733
18 25 1199154
19 20 2209364
19 23 890195
19 25 2720082
20 23 1319169
20 25 2420038
23 25 1829887
Case #6: Impossible
Case #7: 105
1 2 232774
1 3 269387
1 4 245887
1 5 339533
1 6 252844
1 7 407021
1 8 385346
1 9 163829
1 10 347821
1 11 220474
1 12 104079
1 13 522351
1 14 83987
1 15 145353
2 3 294556
2 4 318056
2 5 411702
2 6 325013
2 7 479190
2 8 386003
2 9 235538
2 10 379806
2 11 169911
2 12 176248
2 13 543200
2 14 156156
2 15 217522
3 4 23500
3 5 393946
3 6 295461
3 7 433924
3 8 162959
3 9 208438
3 10 362050
3 11 124645
3 12 205492
3 13 286050
3 14 185400
3 15 199766
4 5 417446
4 6 271961
4 7 440052
4 8 139459
4 9 184938
4 10 385550
4 11 148145
4 12 181992
4 13 309550
4 14 161900
4 15 223266
5 6 424403
5 7 578580
5 8 342562
5 9 503362
5 10 519380
5 11 269301
5 12 275638
5 13 642590
5 14 255546
5 15 316912
6 7 168091
6 8 132502
6 9 416673
6 10 392507
6 11 305344
6 12 188949
6 13 269507
6 14 168857
6 15 230223
7 8 300593
7 9 346072
7 10 560598
7 11 309279
7 12 343126
7 13 423684
7 14 323034
7 15 384400
8 9 324397
8 10 425987
8 11 216092
8 12 321451
8 13 402009
8 14 301359
8 15 291213
9 10 504281
9 11 333083
9 12 260539
9 13 494488
9 14 247816
9 15 309182
10 11 400321
10 12 243742
10 13 648100
10 14 263834
10 15 325200
11 12 156579
11 13 373289
11 14 136487
11 15 75121
12 13 458456
12 14 20092
12 15 81458
13 14 438364
13 15 448410
14 15 61366
Case #8: Impossible
Case #9: 276
1 2 107758
1 3 136970
1 4 159894
1 5 90948
1 6 192686
1 7 177040
1 8 161005
1 9 124802
1 10 183720
1 11 167574
1 12 73752
1 13 136255
1 14 156851
1 15 185896
1 16 109405
1 17 133044
1 18 110619
1 19 181298
1 20 132217
1 21 80548
1 22 147543
1 23 102556
1 24 148070
2 3 56511
2 4 79435
2 5 76654
2 6 112227
2 7 69282
2 8 80546
2 9 69730
2 10 161103
2 11 87115
2 12 59458
2 13 113638
2 14 49093
2 15 137018
2 16 95111
2 17 64097
2 18 2861
2 19 73540
2 20 51758
2 21 66254
2 22 117477
2 23 88262
2 24 92998
3 4 32430
3 5 49682
3 6 65222
3 7 75966
3 8 33541
3 9 13219
3 10 142454
3 11 40110
3 12 63218
3 13 94989
3 14 55777
3 15 90013
3 16 86330
3 17 7586
3 18 53650
3 19 80972
3 20 4753
3 21 57473
3 22 106277
3 23 61290
3 24 36487
4 5 82112
4 6 32792
4 7 108396
4 8 1111
4 9 45649
4 10 174884
4 11 7680
4 12 86142
4 13 127419
4 14 88207
4 15 112937
4 16 118760
4 17 40016
4 18 76574
4 19 104038
4 20 27677
4 21 89903
4 22 138707
4 23 93720
4 24 68917
5 6 114904
5 7 89663
5 8 83223
5 9 54654
5 10 92772
5 11 89792
5 12 17196
5 13 45307
5 14 97212
5 15 139695
5 16 39257
5 17 42096
5 18 79515
5 19 115482
5 20 54435
5 21 10400
5 22 56595
5 23 11608
5 24 77922
6 7 137536
6 8 33903
6 9 78441
6 10 188979
6 11 40472
6 12 118934
6 13 141514
6 14 117347
6 15 145729
6 16 151552
6 17 72808
6 18 109366
6 19 136830
6 20 60469
6 21 122695
6 22 171499
6 23 126512
6 24 77685
7 8 109507
7 9 62747
7 10 91821
7 11 116076
7 12 106859
7 13 44356
7 14 20189
7 15 165979
7 16 128920
7 17 83552
7 18 66421
7 19 137100
7 20 80719
7 21 100063
7 22 123042
7 23 78055
7 24 86015
8 9 46760
8 10 175995
8 11 6569
8 12 87253
8 13 128530
8 14 89318
8 15 114048
8 16 119871
8 17 41127
8 18 77685
8 19 102927
8 20 28788
8 21 91014
8 22 139818
8 23 94831
8 24 70028
9 10 147426
9 11 53329
9 12 51050
9 13 99961
9 14 42558
9 15 103232
9 16 73111
9 17 20805
9 18 66869
9 19 94191
9 20 17972
9 21 44254
9 22 111249
9 23 66262
9 24 23268
10 11 182564
10 12 109968
10 13 47465
10 14 112010
10 15 232467
10 16 132029
10 17 134868
10 18 158242
10 19 208254
10 20 147207
10 21 103172
10 22 126151
10 23 81164
10 24 170694
11 12 93822
11 13 135099
11 14 95887
11 15 116953
11 16 126440
11 17 47696
11 18 84254
11 19 109496
11 20 35357
11 21 97583
11 22 146387
11 23 101400
11 24 76597
12 13 62503
12 14 93608
12 15 143725
12 16 35653
12 17 59292
12 18 62319
12 19 132678
12 20 58465
12 21 6796
12 22 73791
12 23 28804
12 24 74318
13 14 64545
13 15 185002
13 16 84564
13 17 87403
13 18 110777
13 19 160789
13 20 99742
13 21 55707
13 22 78686
13 23 33699
13 24 123229
14 15 145790
14 16 115669
14 17 63363
14 18 46232
14 19 116911
14 20 60530
14 21 86812
14 22 143231
14 23 98244
14 24 65826
15 16 176343
15 17 97599
15 18 134157
15 19 170985
15 20 85260
15 21 147486
15 22 196290
15 23 151303
15 24 126500
16 17 81353
16 18 97972
16 19 154739
16 20 91083
16 21 28857
16 22 95852
16 23 50865
16 24 96379
17 18 61236
17 19 73386
17 20 12339
17 21 52496
17 22 98691
17 23 53704
17 24 44073
18 19 70679
18 20 48897
18 21 69115
18 22 114616
18 23 91123
18 24 90137
19 20 85725
19 21 125882
19 22 172077
19 23 127090
19 24 117459
20 21 62226
20 22 111030
20 23 66043
20 24 41240
21 22 66995
21 23 22008
21 24 67522
22 23 44987
22 24 134517
23 24 89530
Case #10: 105
1 2 256637
1 3 230505
1 4 315062
1 5 156172
1 6 37712
1 7 105219
1 8 183831
1 9 379918
1 10 257985
1 11 202353
1 12 214517
1 13 321828
1 14 194254
1 15 265706
2 3 323076
2 4 58425
2 5 337385
2 6 294349
2 7 361856
2 8 289478
2 9 263571
2 10 295596
2 11 227147
2 12 339064
2 13 65191
2 14 206993
2 15 287875
3 4 348875
3 5 283281
3 6 192793
3 7 125286
3 8 338912
3 9 181389
3 10 59456
3 11 328409
3 12 15988
3 13 342109
3 14 349335
3 15 67177
4 5 395810
4 6 277350
4 7 344857
4 8 231053
4 9 205146
4 10 289419
4 11 285572
4 12 332887
4 13 123616
4 14 241476
4 15 297140
5 6 118460
5 7 185967
5 8 264579
5 9 447863
5 10 255801
5 11 358525
5 12 295265
5 13 402576
5 14 275002
5 15 263522
6 7 67507
6 8 146119
6 9 342206
6 10 220273
6 11 240065
6 12 176805
6 13 284116
6 14 156542
6 15 227994
7 8 213626
7 9 306675
7 10 152766
7 11 307572
7 12 109298
7 13 351623
7 14 224049
7 15 160487
8 9 342230
8 10 352059
8 11 251568
8 12 322924
8 13 224287
8 14 302661
